cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Tislelizumab plus chemotherapy,0,0.0,131,high,133,321,163,332
risk-c1-t001,1,Tislelizumab plus chemotherapy,1,3.0,108,high,172,321,201,332
risk-c1-t002,1,Tislelizumab plus chemotherapy,2,6.0,76,high,211,321,240,332
risk-c1-t003,1,Tislelizumab plus chemotherapy,3,9.0,61,high,250,321,279,332
risk-c1-t004,1,Tislelizumab plus chemotherapy,4,12.0,38,high,288,321,318,332
risk-c1-t005,1,Tislelizumab plus chemotherapy,5,15.0,33,high,327,321,357,332
risk-c1-t006,1,Tislelizumab plus chemotherapy,6,18.0,30,high,366,321,395,332
risk-c1-t007,1,Tislelizumab plus chemotherapy,7,21.0,24,high,405,321,434,332
risk-c1-t008,1,Tislelizumab plus chemotherapy,8,24.0,22,high,443,321,473,332
risk-c1-t009,1,Tislelizumab plus chemotherapy,9,27.0,18,high,482,321,512,332
risk-c1-t010,1,Tislelizumab plus chemotherapy,10,30.0,18,high,521,321,550,332
risk-c1-t011,1,Tislelizumab plus chemotherapy,11,33.0,14,high,560,321,589,332
risk-c1-t012,1,Tislelizumab plus chemotherapy,12,36.0,13,high,598,321,628,332
risk-c1-t013,1,Tislelizumab plus chemotherapy,13,39.0,11,high,637,321,667,332
risk-c1-t014,1,Tislelizumab plus chemotherapy,14,42.0,9,high,676,321,705,332
risk-c1-t015,1,Tislelizumab plus chemotherapy,15,45.0,5,high,715,321,744,332
risk-c1-t016,1,Tislelizumab plus chemotherapy,16,48.0,3,high,754,321,783,332
risk-c1-t017,1,Tislelizumab plus chemotherapy,17,51.0,0,high,792,321,809,332
risk-c2-t000,2,Placebo plus chemotherapy,0,0.0,132,high,133,334,163,345
risk-c2-t001,2,Placebo plus chemotherapy,1,3.0,99,high,172,334,201,345
risk-c2-t002,2,Placebo plus chemotherapy,2,6.0,60,high,211,334,240,345
risk-c2-t003,2,Placebo plus chemotherapy,3,9.0,28,high,250,334,279,345
risk-c2-t004,2,Placebo plus chemotherapy,4,12.0,11,high,288,334,318,345
risk-c2-t005,2,Placebo plus chemotherapy,5,15.0,7,high,327,334,357,345
risk-c2-t006,2,Placebo plus chemotherapy,6,18.0,7,high,366,334,395,345
risk-c2-t007,2,Placebo plus chemotherapy,7,21.0,7,high,405,334,434,345
risk-c2-t008,2,Placebo plus chemotherapy,8,24.0,7,high,443,334,473,345
risk-c2-t009,2,Placebo plus chemotherapy,9,27.0,6,high,482,334,512,345
risk-c2-t010,2,Placebo plus chemotherapy,10,30.0,6,high,521,334,550,345
risk-c2-t011,2,Placebo plus chemotherapy,11,33.0,5,high,560,334,589,345
risk-c2-t012,2,Placebo plus chemotherapy,12,36.0,5,high,598,334,628,345
risk-c2-t013,2,Placebo plus chemotherapy,13,39.0,5,high,637,334,667,345
risk-c2-t014,2,Placebo plus chemotherapy,14,42.0,3,high,676,334,705,345
risk-c2-t015,2,Placebo plus chemotherapy,15,45.0,3,high,715,334,744,345
risk-c2-t016,2,Placebo plus chemotherapy,16,48.0,1,high,754,334,783,345
risk-c2-t017,2,Placebo plus chemotherapy,17,51.0,0,high,792,334,809,345
