cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Tislelizumab,0,0.0,342,high,108,353,136,367
risk-c1-t001,1,Tislelizumab,1,3.0,307,high,145,353,174,367
risk-c1-t002,1,Tislelizumab,2,6.0,259,high,183,353,212,367
risk-c1-t003,1,Tislelizumab,3,9.0,228,high,221,353,250,367
risk-c1-t004,1,Tislelizumab,4,12.0,191,high,259,353,287,367
risk-c1-t005,1,Tislelizumab,5,15.0,170,high,296,353,325,367
risk-c1-t006,1,Tislelizumab,6,18.0,155,high,334,353,363,367
risk-c1-t007,1,Tislelizumab,7,21.0,137,high,372,353,400,367
risk-c1-t008,1,Tislelizumab,8,24.0,126,high,409,353,438,367
risk-c1-t009,1,Tislelizumab,9,27.0,111,high,447,353,476,367
risk-c1-t010,1,Tislelizumab,10,30.0,101,high,485,353,514,367
risk-c1-t011,1,Tislelizumab,11,33.0,98,high,523,353,551,367
risk-c1-t012,1,Tislelizumab,12,36.0,77,high,560,353,589,367
risk-c1-t013,1,Tislelizumab,13,39.0,53,high,598,353,627,367
risk-c1-t014,1,Tislelizumab,14,42.0,33,high,636,353,664,367
risk-c1-t015,1,Tislelizumab,15,45.0,18,high,673,353,702,367
risk-c1-t016,1,Tislelizumab,16,48.0,4,high,711,353,740,367
risk-c1-t017,1,Tislelizumab,17,51.0,0,high,749,353,778,367
risk-c1-t018,1,Tislelizumab,18,54.0,0,high,787,353,808,367
risk-c2-t000,2,Sorafenib,0,0.0,332,high,108,370,136,384
risk-c2-t001,2,Sorafenib,1,3.0,291,high,145,370,174,384
risk-c2-t002,2,Sorafenib,2,6.0,247,high,183,370,212,384
risk-c2-t003,2,Sorafenib,3,9.0,208,high,221,370,250,384
risk-c2-t004,2,Sorafenib,4,12.0,179,high,259,370,287,384
risk-c2-t005,2,Sorafenib,5,15.0,147,high,296,370,325,384
risk-c2-t006,2,Sorafenib,6,18.0,136,high,334,370,363,384
risk-c2-t007,2,Sorafenib,7,21.0,113,high,372,370,400,384
risk-c2-t008,2,Sorafenib,8,24.0,96,high,409,370,438,384
risk-c2-t009,2,Sorafenib,9,27.0,84,high,447,370,476,384
risk-c2-t010,2,Sorafenib,10,30.0,77,high,485,370,514,384
risk-c2-t011,2,Sorafenib,11,33.0,66,high,523,370,551,384
risk-c2-t012,2,Sorafenib,12,36.0,52,high,560,370,589,384
risk-c2-t013,2,Sorafenib,13,39.0,39,high,598,370,627,384
risk-c2-t014,2,Sorafenib,14,42.0,29,high,636,370,664,384
risk-c2-t015,2,Sorafenib,15,45.0,13,high,673,370,702,384
risk-c2-t016,2,Sorafenib,16,48.0,4,high,711,370,740,384
risk-c2-t017,2,Sorafenib,17,51.0,1,high,749,370,778,384
risk-c2-t018,2,Sorafenib,18,54.0,0,high,787,370,808,384
