curve_id,curve_name,time,survival,x_pixel,y_pixel
1,Chemoradiotherapy alone,0.0,1.0,207.0,40.0
1,Chemoradiotherapy alone,2.734806629834254,0.988950276243094,207.0,40.0
1,Chemoradiotherapy alone,2.917127071823204,0.988950276243094,208.0,40.0
1,Chemoradiotherapy alone,3.0994475138121547,0.988950276243094,209.0,40.0
1,Chemoradiotherapy alone,3.281767955801105,0.988950276243094,210.0,40.0
1,Chemoradiotherapy alone,3.464088397790055,0.988950276243094,211.0,40.0
1,Chemoradiotherapy alone,3.6464088397790055,0.988950276243094,212.0,40.0
1,Chemoradiotherapy alone,3.8287292817679557,0.988950276243094,213.0,40.0
1,Chemoradiotherapy alone,4.011049723756906,0.988950276243094,214.0,40.0
1,Chemoradiotherapy alone,4.193370165745857,0.988950276243094,215.0,40.0
1,Chemoradiotherapy alone,4.375690607734806,0.988950276243094,216.0,40.0
1,Chemoradiotherapy alone,4.558011049723757,0.988950276243094,217.0,40.0
1,Chemoradiotherapy alone,4.740331491712707,0.988950276243094,218.0,40.0
1,Chemoradiotherapy alone,4.922651933701657,0.988950276243094,219.0,40.0
1,Chemoradiotherapy alone,5.104972375690608,0.988950276243094,220.0,40.0
1,Chemoradiotherapy alone,5.287292817679559,0.988950276243094,221.0,40.0
1,Chemoradiotherapy alone,5.469613259668508,0.988950276243094,222.0,40.0
1,Chemoradiotherapy alone,5.651933701657459,0.988950276243094,223.0,40.0
1,Chemoradiotherapy alone,5.834254143646408,0.988950276243094,224.0,40.0
1,Chemoradiotherapy alone,6.016574585635359,0.988950276243094,225.0,40.0
1,Chemoradiotherapy alone,6.198895027624309,0.988950276243094,226.0,40.0
1,Chemoradiotherapy alone,6.3812154696132595,0.988950276243094,227.0,40.0
1,Chemoradiotherapy alone,6.56353591160221,0.988950276243094,228.0,40.0
1,Chemoradiotherapy alone,6.745856353591161,0.988950276243094,229.0,40.0
1,Chemoradiotherapy alone,6.92817679558011,0.988950276243094,230.0,40.0
1,Chemoradiotherapy alone,7.110497237569061,0.988950276243094,231.0,40.0
1,Chemoradiotherapy alone,7.292817679558011,0.988950276243094,232.0,40.0
1,Chemoradiotherapy alone,7.475138121546961,0.988950276243094,233.0,40.0
1,Chemoradiotherapy alone,7.657458563535911,0.988950276243094,234.0,40.0
1,Chemoradiotherapy alone,7.839779005524862,0.988950276243094,235.0,40.0
1,Chemoradiotherapy alone,8.022099447513812,0.988950276243094,236.0,40.0
1,Chemoradiotherapy alone,8.204419889502763,0.988950276243094,237.0,40.0
1,Chemoradiotherapy alone,8.386740331491714,0.988950276243094,238.0,40.0
1,Chemoradiotherapy alone,8.569060773480663,0.988950276243094,239.0,40.0
1,Chemoradiotherapy alone,8.751381215469612,0.988950276243094,240.0,40.0
1,Chemoradiotherapy alone,8.933701657458563,0.988950276243094,241.0,40.0
1,Chemoradiotherapy alone,9.116022099447514,0.988950276243094,242.0,40.0
1,Chemoradiotherapy alone,9.298342541436464,0.988950276243094,243.0,40.0
1,Chemoradiotherapy alone,9.480662983425415,0.9779005524861879,244.0,40.0
1,Chemoradiotherapy alone,9.662983425414364,0.9779005524861879,245.0,44.0
1,Chemoradiotherapy alone,9.845303867403315,0.9779005524861879,246.0,44.0
1,Chemoradiotherapy alone,10.027624309392266,0.9779005524861879,247.0,44.0
1,Chemoradiotherapy alone,10.209944751381215,0.9779005524861879,248.0,44.0
1,Chemoradiotherapy alone,10.392265193370164,0.9779005524861879,249.0,44.0
1,Chemoradiotherapy alone,10.574585635359117,0.9696132596685082,250.0,44.0
1,Chemoradiotherapy alone,10.756906077348066,0.9696132596685082,251.0,47.0
1,Chemoradiotherapy alone,10.939226519337016,0.9696132596685082,252.0,47.0
1,Chemoradiotherapy alone,11.121546961325969,0.9696132596685082,253.0,47.0
1,Chemoradiotherapy alone,11.303867403314918,0.9696132596685082,254.0,47.0
1,Chemoradiotherapy alone,11.486187845303867,0.9696132596685082,255.0,47.0
1,Chemoradiotherapy alone,11.668508287292816,0.9696132596685082,256.0,47.0
1,Chemoradiotherapy alone,11.85082872928177,0.9640883977900552,257.0,47.0
1,Chemoradiotherapy alone,12.033149171270718,0.9640883977900552,258.0,49.0
1,Chemoradiotherapy alone,12.215469613259668,0.9640883977900552,259.0,49.0
1,Chemoradiotherapy alone,12.397790055248619,0.9640883977900552,260.0,48.0
1,Chemoradiotherapy alone,12.58011049723757,0.9640883977900552,261.0,48.0
1,Chemoradiotherapy alone,12.762430939226519,0.9585635359116023,262.0,48.0
1,Chemoradiotherapy alone,12.94475138121547,0.9585635359116023,263.0,51.0
1,Chemoradiotherapy alone,13.12707182320442,0.9558011049723757,264.0,50.0
1,Chemoradiotherapy alone,13.30939226519337,0.9558011049723757,265.0,52.0
1,Chemoradiotherapy alone,13.491712707182321,0.9502762430939227,266.0,52.0
1,Chemoradiotherapy alone,13.67403314917127,0.9502762430939227,267.0,54.0
1,Chemoradiotherapy alone,13.85635359116022,0.9475138121546961,268.0,54.0
1,Chemoradiotherapy alone,14.038674033149173,0.9475138121546961,269.0,55.0
1,Chemoradiotherapy alone,14.220994475138122,0.9475138121546961,270.0,54.0
1,Chemoradiotherapy alone,14.403314917127071,0.9475138121546961,271.0,54.0
1,Chemoradiotherapy alone,14.585635359116022,0.9475138121546961,272.0,54.0
1,Chemoradiotherapy alone,14.767955801104973,0.9475138121546961,273.0,54.0
