cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Tislelizumab plus chemotherapy,0,0.0,131,high,129,322,157,333
risk-c1-t001,1,Tislelizumab plus chemotherapy,1,3.0,122,high,166,322,194,333
risk-c1-t002,1,Tislelizumab plus chemotherapy,2,6.0,117,high,203,322,231,333
risk-c1-t003,1,Tislelizumab plus chemotherapy,3,9.0,116,high,240,322,268,333
risk-c1-t004,1,Tislelizumab plus chemotherapy,4,12.0,109,high,277,322,305,333
risk-c1-t005,1,Tislelizumab plus chemotherapy,5,15.0,100,high,313,322,341,333
risk-c1-t006,1,Tislelizumab plus chemotherapy,6,18.0,92,high,350,322,378,333
risk-c1-t007,1,Tislelizumab plus chemotherapy,7,21.0,87,high,387,322,415,333
risk-c1-t008,1,Tislelizumab plus chemotherapy,8,24.0,79,high,424,322,452,333
risk-c1-t009,1,Tislelizumab plus chemotherapy,9,27.0,73,high,461,322,489,333
risk-c1-t010,1,Tislelizumab plus chemotherapy,10,30.0,71,high,498,322,526,333
risk-c1-t011,1,Tislelizumab plus chemotherapy,11,33.0,64,high,535,322,563,333
risk-c1-t012,1,Tislelizumab plus chemotherapy,12,36.0,58,high,572,322,600,333
risk-c1-t013,1,Tislelizumab plus chemotherapy,13,39.0,52,high,609,322,637,333
risk-c1-t014,1,Tislelizumab plus chemotherapy,14,42.0,29,high,645,322,673,333
risk-c1-t015,1,Tislelizumab plus chemotherapy,15,45.0,18,high,682,322,710,333
risk-c1-t016,1,Tislelizumab plus chemotherapy,16,48.0,11,high,719,322,747,333
risk-c1-t017,1,Tislelizumab plus chemotherapy,17,51.0,6,high,756,322,784,333
risk-c1-t018,1,Tislelizumab plus chemotherapy,18,54.0,0,high,793,322,809,333
risk-c2-t000,2,Placebo plus chemotherapy,0,0.0,132,high,129,335,157,346
risk-c2-t001,2,Placebo plus chemotherapy,1,3.0,124,high,166,335,194,346
risk-c2-t002,2,Placebo plus chemotherapy,2,6.0,118,high,203,335,231,346
risk-c2-t003,2,Placebo plus chemotherapy,3,9.0,110,high,240,335,268,346
risk-c2-t004,2,Placebo plus chemotherapy,4,12.0,99,high,277,335,305,346
risk-c2-t005,2,Placebo plus chemotherapy,5,15.0,86,high,313,335,341,346
risk-c2-t006,2,Placebo plus chemotherapy,6,18.0,77,high,350,335,378,346
risk-c2-t007,2,Placebo plus chemotherapy,7,21.0,70,high,387,335,415,346
risk-c2-t008,2,Placebo plus chemotherapy,8,24.0,66,high,424,335,452,346
risk-c2-t009,2,Placebo plus chemotherapy,9,27.0,58,high,461,335,489,346
risk-c2-t010,2,Placebo plus chemotherapy,10,30.0,55,high,498,335,526,346
risk-c2-t011,2,Placebo plus chemotherapy,11,33.0,50,high,535,335,563,346
risk-c2-t012,2,Placebo plus chemotherapy,12,36.0,47,high,572,335,600,346
risk-c2-t013,2,Placebo plus chemotherapy,13,39.0,43,high,609,335,637,346
risk-c2-t014,2,Placebo plus chemotherapy,14,42.0,19,high,645,335,673,346
risk-c2-t015,2,Placebo plus chemotherapy,15,45.0,9,high,682,335,710,346
risk-c2-t016,2,Placebo plus chemotherapy,16,48.0,5,high,719,335,747,346
risk-c2-t017,2,Placebo plus chemotherapy,17,51.0,3,high,756,335,784,346
risk-c2-t018,2,Placebo plus chemotherapy,18,54.0,0,high,793,335,809,346
